题号,题干,A,B,C,D,E,答案,难度,题型
3,马克思主义产生的直接理论渊源是（ ）,英国古典政治经济学,法国英国的空想社会主义,法国启蒙思想,德国古典哲学,,ABD,易,多选题
4,马克思恩格斯最重要的理论贡献是（ ）,剩余价值学说,唯物史观,辩证法,劳动价值论,,AB,易,多选题
5,马克思主义哲学产生的自然科学前提是( ),细胞学说,达尔文的生物进化论,能量守恒和转化定律,地理学的重大发现,,ABC,易,多选题
6,"我国古代哲学家王夫之认为：""动静者，乃阴阳之动静也。""""皆本物之固然。""""静者静动，非不动也。""""静即含动，动不含静。""""动、静，皆动也。""这在哲学上表达了（ ）",静止是运动的特殊状态,运动是物质的固有属性,运动是静止的总和,静止是相对的，运动是绝对的,静止是绝对的，运动是相对的,ABD,易,多选题
7,"马克思说：""社会生活在本质上是实践的。""这一命题的主要含义是（ ）",实践形成了社会生活的基本领域,实践构成了社会发展的动力,实践是社会历史的主体,实践是社会关系形成的基础,实践是社会历史的客体,ABD,易,多选题
8,下列选项中，属于哲学基本问题内容的有（ ）,物质和意识何者为第一性的问题,物质世界是否运动发展的问题,物质世界是否普遍联系的问题,物质世界可不可以认识的问题,矛盾是不是事物发展源泉的问题,AD,易,多选题
9,唯心主义的基本形态是（ ）,主观唯心主义,先验唯心主义,客观唯心主义,历史唯心主义,绝对唯心主义,AC,易,多选题
10,坚持从实际出发就要反对（ ）,从主观愿望出发,从经验出发,从中国的具体国情出发,从外国模式出发,从书本教条出发,ABDE,易,多选题
11,下列哪些活动属于人的意识活动（ ）,审时度势,饥餐渴饮,趋利避害,神机妙算,胡思乱想,ADE,易,多选题
12,物质和意识的辩证关系是（ ）,物质和意识平行向前发展，谁也不决定谁,意识是物质的根源,物质对意识有决定作用,物质第一性意识第二性,意识对物质有能动的反作用,CDE,易,多选题
13,马克思指出：“观念的东西不外是移入人的头脑并在人的头脑中改造过的物质的东西而已.”这段话体现了（）,观念既是主观的又是客观的,观念的东西不同于物质的东西,观念是第一性的，物质是第二性的,物质是第一性的，观念是第二性的,观念是物质的东西在人头脑中的反映,ABDE,易,多选题
14,"""先有计划，后有工作；先有图纸，后有房子""这是（ ）",意识活动的目的性和计划性,意识决定物质,意识对物质有能动作用,意识对自身心理活动有控制作用,物质的多样性,AC,易,多选题
15,“机不可失，时不再来”、“光阴一去不复还”表明指的是（ ）,时间的重要性,时间的一维性,时间的间断性,时间的不可逆性,时间的连续性,BD,易,多选题
16,"列宁说：""物质是标志客观实在的哲学范畴，这种客观实在是人通过感觉感知的，它不依赖于我们的感觉而存在，为我们的感觉所复写、摄影、反映.""其含义是（ ）",物质是属于共性的范畴,物质是可以认识的,物质是主观的产物,物质是看得见、摸得着的,物质的唯一特性是客观实在性,ABE,易,多选题
17,意识是（ ）,对客观世界的反映,人的头脑里固有的,有客观内容的,客观内容和主观形式的统一,人脑的机能,ACDE,易,多选题
18,物质运动的基本形式包括（ ）,社会运动,化学运动,生物运动,物理运动,机械运动,ABCDE,易,多选题
19,唯物辩证法着重回答的是（ ）,世界本原问题,世界是“怎么样”的问题,世界状态问题,世界“是什么”的问题,,BC,易,多选题
20,辩证法和形而上学对立的主要表现是（ ）,联系观点与孤立观点的对立,运动观点与静止观点的对立,承认矛盾与否认矛盾观点的对立,全面观点与片面观点的对立,,ABCD,易,多选题
21,事物的根本性质未变，但比较次要的性质发生了变化，这是（ ）,总的量变过程中的部分质变,阶段性的部分质变,发展的连续过程的中断,质变过程中量的扩张,,AB,易,多选题
22,下面哪种现象是爆发式飞跃（ ）,火山爆发,地震海啸,电闪雷鸣,生产工具革新,,ABC,易,多选题
23,矛盾解决的方式有（ ）,一方克服另一方,双方共存、互相促进,双方归于融合,双方“同归于尽”,,ABCD,易,多选题
24,以下各项中符合矛盾普遍性原理的有（ ）,矛盾是最普遍的哲学范畴，整个世界充满了矛盾,矛盾贯穿于一切事物发展过程的始终，即矛盾无时不有,矛盾存在于一切事物中，即矛盾无处不在,矛盾存在于自然界、人类社会和人类思维一切领域,,ABCD,易,多选题
25,“知己知彼，百战不殆”这句话符合（ ）,矛盾主要方面和次要方面关系的原理,内因和外因关系的原理,主要矛盾和次要矛盾关系的原理,矛盾分析方法的原则,,AD,易,多选题
26,事物发展的螺旋式进程的重要特征是（ ）,周期性或曲折性,必然性或偶然性,前进性或上升性,间断性或连续性,,AC,易,多选题
27,对立统一规律是唯物辩证法的实质和核心，是因为它（ ）,揭示了事物发展的方向和道路,揭示了事物普遍联系的本质内容,揭示了事物发展的源泉和动力,是贯穿于辩证法其他规律和范畴的主线,,BCD,易,多选题
28,矛盾同一性在事物发展中的作用表现在（ ）,推动矛盾双方的力量对比和相互关系发生变化,保持事物相对稳定，为事物的存在和发展提供必要前提,规定事物向对立面转化的基本趋势,矛盾双方互相吸取有利于自身的因素而得到发展,,BCD,易,多选题
29,"恩格斯说：""当我们深思熟虑地考察自然界或人类历史或我们自己的精神活动的时候，首先呈现在我们眼前的，是一幅由种种联系和相互作用无穷无尽地交织起来的画面。""这段话所包含的辩证法观点有（ ）",联系是客观世界的本性,一切事物都处于相互联系之中,联系既是普遍的又是复杂多样的,世界是一个相互联系的统一整体,,ABCD,易,多选题
30,下列选项中，属于矛盾斗争性表现的有（ ）,两岸同胞与“台独”势力的对立,敌对阶级之间的对立,发达国家与发展中国家的不平等交换,生物界的生存竞争,,ABCD,易,多选题
31,下列表述中，体现矛盾特殊性的有（ ）,物极必反，相反相成,因材施教，因人而异,因时制宜，因地制宜,对症下药，量体裁衣,,BCD,易,多选题
32,下列选项中，体现坚持适度原则的有（ ）,适可而止,掌握火候,过犹不及,注意分寸,,ABCD,易,多选题
33,下列命题中，属于量变引起质变表现的有（ ）,绳锯木断，水滴石穿,积羽沉舟，集腋成裘,千里之堤，溃于蚁穴,不积细流，无以成江海,,ABCD,易,多选题
34,主体与客体相互作用的过程包括以下环节（ ）,通过改造主观世界而支配客观世界的运行,通过改造客观世界而支配主观世界的运行,确定实践目的和实践方案,通过一定的实践手段把实践方案变成实际的实践活动,通过反馈和调节，使实践目的、手段和结果按一定方向运行,CDE,易,多选题
35,实践在认识中的决定作用表现在（ ）,实践提出了认识的课题,实践是认识的唯一来源,实践是检验认识真理性的唯一标准,实践使认识得以产生和发展,实践创造出必要的物质条件和手段，使认识成为可能,ABCDE,易,多选题
36,"""批判的武器当然不能代替武器的批判，物质的力量只能用物质的力量来摧毁，理论一经群众掌握，也会变成物质力量。""这一论断的哲学思想是（）",理论的作用可以通过实践表现出来,理论本身就是物质的力量,理论不能代替实践,理论对实践具有指导作用,理论优于实践,ACD,易,多选题
37,"""单凭观察所得的经验，是决不能充分证明必然性的。这是如此正确，以至于不能从太阳总是在早晨升起来判断它明天会再升起。""恩格斯这段话的含义是（ ）",归纳方法不是万能的,感性认识有待于上升为理性认识,感性认识具有局限性,感性认识是不可靠的,事物的必然性与感性、经验性毫无关系,ABC,易,多选题
38,真理原则和价值原则的区别是（ ）,真理原则说明人的活动的客观制约性，价值原则表明人的活动的目的性,真理原则侧重于现实性，价值原则侧重于理论性,真理原则侧重于客体性，价值原则侧重于主体性,真理原则体现了人的活动中的统一性，价值原则体现了社会活动中的多样性,真理原则侧重于主观性，价值原则侧重于主体性,ACD,易,多选题
39,马克思主义认识论区别于旧唯物主义认识论的显著特点有（ ）,把辩证法应用于认识论,把科学的实践观引入认识论,把可知论引入认识论,认为认识的本质是在实践基础上主体对客体的能动反映,把唯物主义引入认识论,ABD,易,多选题
40,正确反映理论与实践的关系的观点是（ ）,实践与理论是相互决定的,实践对理论具有指导作用,理论对实践具有决定作用,理论对实践具有指导作用,实践对理论具有决定作用,DE,易,多选题
41,实践的基本特点是（）,革命性,能动性,客观性,社会历史性,阶级性,BCD,易,多选题
42,下列哪些活动属于最基本的实践活动（ ）,警察追捕罪犯,运动员比赛,工人炼钢,农作物新品种的研究,渔民捕鱼,CE,易,多选题
43,科学实验是（ ）,从生产实践中分化出来的尝试性、探索性的实践活动,"暂时撇开认识对象的复杂联系,排除各种偶然因素的干扰,从而发现其本质和规律的活动",处理人与人之间关系的社会性活动,"运用实践手段,把认识对象放在理想的环境中进行探索的活动",为成功地改造世界提供必要的知识的活动,ABDE,易,多选题
44,认识的主体（ ）,从事实践活动的人,处于一定社会关系中的人,一切事物,包括个人和集体,具有自然属性、思维属性和社会属性的人,ABDE,易,多选题
45,认识的客体的属性有（ ）,客观性,社会历史性,创造性,对象性,自然性,ABD,易,多选题
46,认识主体的特点是（ ）,实践性,创造性,自主性,社会性,主动性,ABCDE,易,多选题
47,认识的客体就是（ ）,客观事物,进入主体活动范围的客观事物,一定历史条件下认识的对象,世界上一部分对象化的事物,物质,BCD,易,多选题
48,实践和认识的辩证关系是（ ）,认识对实践有能动作用,认识对实践有指导作用,实践决定认识,认识和实践互相决定,实践是认识的基础,ABCE,易,多选题
49,社会劳动在人类认识发生的过程中起着决定作用，表现在（ ）,社会劳动促进了人类语言的产生,社会劳动的发展促进了人类认识器官的进化,社会劳动促进了人类的社会交往,社会劳动的发生和发展，提供了人类认识活动的可能性,社会劳动的发生和发展，提供了人类认识活动的必要性,ABCDE,易,多选题
50,"认识的辩证过程包括两个阶段,它们分别是（ ）",从感性认识到理性认识的过程,从摹写到创造的过程,从感觉到知觉的过程,从判断到推理的过程,从理性认识到实践的过程,AE,易,多选题
51,下列各项正确反映感性认识与理性认识的关系有（ ）,感性认识和理性认识是绝对对立的,理性认识中包含着感性认识,理性认识依赖于感性认识,感性认识有待于发展到理性认识,感性认识中包含着理性认识,BCDE,易,多选题
52,下列各项属于感性认识的形式的有（）,推理,概念,知觉,感觉,表象,CDE,易,多选题
53,直接经验和间接经验的关系是（ ）,直接经验可靠，间接经验不可靠,直接经验不可靠，间接经验可靠,二者统一的基础是实践,源与流的关系,,CD,易,多选题
54,人类活动的两项基本原则是（ ）,发展原则,价值原则,真理原则,辩证法原则,唯物主义原则,BC,易,多选题
55,实践之所以成为检验真理的唯一标准，可以从两个方面去理解（ ）,真理的本性要求主观的认识同客观事物的本质及其规律相一致,逻辑证明仍需实践的检验,实践的特性决定唯有通过实践，才能使主观的认识转化为客观的现实,承认实践是检验真理的唯一标准，并不是否定逻辑证明的作用,实践作为检验真理的标准，既是确定的，又是不确定,AC,易,多选题
56,我国正在进行的改革是（ ）,生产关系中不适应生产力的某些方面和环节的改革,根本政治制度的改革,根本经济制度的改革,上层建筑中不适应经济基础的某些方面和环节的改革,,AD,易,多选题
57,下列各项属于上层建筑的有（ ）,大学,法院,图书馆,军队,,BD,易,多选题
58,物质资料的生产方式对社会发展的决定作用表现在（　　）,它规定了社会制度的性质,它是社会制度变革的根本力量,它决定了社会的基本面貌,它是社会存在和发展的物质基础,,ABCD,易,多选题
59,社会物质生活条件包括（　　）,地理环境,人口因素,国家政治制度,生产方式,,ABD,易,多选题
60,"马克思说：“无论哪一种社会形态 , 在它所能容纳的全部生产力发挥出来以前 , 
是决不会灭亡的；而新的更高的生产关系 , 在它存在的物质条件在旧社会的胞胎里 
成熟以前 , 是决不会出现的。” 这段话说明 (  )",生产力的发展是促使社会形态更替的最终原因,"无论哪一种社会形态 , 当它还能够促进生产力发展时 , 是不会灭亡的",社会形态总是具体的、历史的,一种新的生产关系的产生需要客观的物质条件的成熟,,ABCD,易,多选题
61,生产关系的客观性是指 (   ),人们不能随意创造或消灭某种生产关系,人们不能自由选择生产关系,生产关系是社会有机体中客观实在的组成部分,生产关系是社会上层建筑的物质基础,,ABCD,易,多选题
62,"经济基础对上层建筑的决定作用 , 主要表现在 ( )",经济基础决定上层建筑是否包括自然科学,经济基础决定上层建筑是否具有反作用,经济基础决定上层建筑的性质,经济基础决定上层建筑的产生、变化与发展,,CD,易,多选题
63,马克思对阶级斗争学说的新贡献是（ ）,发现阶级和阶级斗争的存在,说明阶级斗争必然导致无产阶级专政,指出阶级斗争的长期性,论证了阶级的存在与生产发展的一定历史阶段相联系,,BD,易,多选题
64,“劳动创造了人”的基本根据是（ ）,劳动使人的意识得以形成,劳动使人们结成了社会关系,劳动推动语言的产生和发展,劳动创造了生产工具并使猿手变成了人手,,ABCD,易,多选题
65,唯物史观的基本观点是（ ）,阶级斗争是阶级社会发展的直接动力,人民群众是历史的创造者,社会意识决定社会存在,社会存在决定社会意识,,ABD,易,多选题
66,认为“历史者英雄之舞台也，舍英雄几无历史”的观点，属于（ ）,宿命论,唯物史观,群众史观,唯心史观,英雄史观,DE,易,多选题
67,群众观点是无产阶级政党的基本观点，它的主要内容有（ ）,相信群众自己解放自己,一切向群众负责,从群众中来，到群众中去,全心全意为人民服务,,ABD,易,多选题
68,唯心史观的根本缺陷是（ ）,没有客观地说明人民群众的活动,没有考察人们历史活动地思想动机背后的物质动因,承认杰出人物在历史发展中的重大作用,承认意识的能动作用,,AB,易,多选题
69,下列各对矛盾属于社会基本矛盾的有（　）,个人与社会之间的矛盾,人与自然之间的矛盾,剥削阶级和被剥削阶级之间的矛盾,经济基础和上层建筑之间的矛盾,生产力和生产关系之间的矛盾,DE,易,多选题
70,人民群众是一个历史范畴，在不同国家或同一国家的不同历史时期，其包括的内容是不完全相同的。下列各项属于我国现阶段人民群众范畴的有( ),民营企业的创业人员,工人阶级,中介组织的从业人员,广大农民,受聘于外资企业的管理技术人员,ABCDE,易,多选题
71,下面关于经济规律的表述，正确的是（      ）,随经济条件的改变而改变,具有客观性,人们可以认识和利用经济规律,人们认识和利用经济规律带有阶级性,是指经济现象和经济过程内在的、本质的、必然的联系,ABCDE,易,多选题
72,科学技术是生产力，是因为（     ）,科学技术是生产力发展的根本动力,生产力中的人的因素和物的因素都与科学技术相联系,科学技术可以通过人的劳动而形成社会生产力,科学技术是生产力中的一个独立要素,,BC,易,多选题
73,经济制度与经济体制的关系是（      ）,经济制度相同的国家，可以有不同的经济体制,经济制度不同的国家，在经济体制上也可以取长补短,一个国家的经济制度不变，在不同的历史时期也可以有不同的经济体制,经济体制是经济制度的具体组织形式和管理制度,经济制度是经济体制的基础,ABCDE,易,多选题
74,价值是商品的社会属性，它反映（  ）,不同生产部门的生产者之间的相互关系,不同商品之间的关系,同一类商品的不同商品之间的关系,同一生产部门内部不同商品生产者之间的相互关系,不同生产部门之间的相互关系,ACDE,易,多选题
75,劳动生产率与商品的使用价值量和价值量的关系是（   ）,与单位时间内生产的商品的使用价值量成正比,与单位商品的价值量成反比,与单位时间内创造的商品的价值量无关系,与单位时间内创造的商品的价值量成正比,与单位商品的价值量成正比,ABC,易,多选题
76,私有制商品经济存在的基本条件是（      ）,产品能优价出售,存在社会分工,存在人们对消费品的需求,生产资料和产品属于私人所有,存在商品交换和市场条件,BD,易,多选题
77,生产商品的私人劳动能否转化为社会劳动的条件是（      ）,私人劳动生产的产品是否为社会所需要,商品生产者所推动的物化劳动是大还是小,决定于所生产商品的数量多或少,决定于生产过程中劳动者所支出的劳动数量的多或少,生产商品的劳动是否属于社会劳动的一部分,AE,易,多选题
78,商品的价格（      ）,与货币价值量的变动成正比,与商品本身的价值量变动成反比,与货币价值量的变动成反比,与商品本身的价值量变动成正比,与市场的商品供求关系密切相关,CDE,易,多选题
79,汽车的价格比自行车高，其原因是（    ）,汽车的功能比自行车强,汽车的价值比自行车的价值大,生产汽车所耗费的抽象劳动比自行车多,物以稀为贵，汽车比自行车少,生产汽车的社会必要劳动时间比自行车大,BCE,易,多选题
80,商品价格是由商品价值与货币价值共同决定的，因此（     ）,商品价格与货币价值呈反方向变化,商品价格以商品价值为中心，围绕价值上下波动,商品价格与纸币发行量成正比,商品价格与商品价值呈正方向变化,商品价格与商品供求关系互相影响,ABCDE,易,多选题
81,市场上，买卖双方讨价还价，展开竞争，卖者不能无限抬高价格，买者也不能无限压低价格。因为价格受多种因素的影响。这些因素包括（   ）,商品本身的使用价值,国家对价格的监督和管理,市场供求关系的影响,买卖双方的竞争力,商品本身的价值,BCDE,易,多选题
82,简单商品经济中所包含的各种矛盾主要是（     ）,私人劳动和社会劳动的矛盾,使用价值和价值的矛盾,局部劳动和整体劳动的矛盾,价值和交换价值的矛盾,具体劳动和抽象劳动的矛盾,ABE,易,多选题
83,货币作为支付手段支付（  ）,工资,租金,地租,利息,债务,ABCDE,易,多选题
84,货币的两个最基本的职能是（     ）,世界货币,价值尺度,贮藏手段,流通手段,支付手段,BD,易,多选题
85,商品的价格表说明（    ）,商品价格的高低,货币在充当商品交换的媒介,货币在执行价值尺度的职能,货币是社会财富的一般代表,价格是商品价值的货币表现,ACE,易,多选题
86,在当代社会，货币供应量包括（     ）,电子货币,纸币（现金）,白银,黄金,信用货币,ABE,易,多选题
87,商品流通和货币流通的联系是（     ）,商品经过买卖退出流通，货币仍继续在流通中充当交换媒介,货币流通决定商品流通,货币经过一次交换退出流通，商品仍在流通中充当交换媒介,商品和货币都同时投入流通和退出流通,商品流通决定货币流通,AE,易,多选题
88,在价值形式中，等价形式的特点是（  ）,价值成为使用价值的表现形式,使用价值成为价值的表现形式,抽象劳动成为具体劳动的表现形式,私人劳动成为社会劳动的表现形式,具体劳动成为抽象劳动的表现形式,BDE,易,多选题
89,一定时期商品流通中所需要的货币是取决于（   ）,流通中的商品数量,货币流通的速度,商品的价格水平,商品生产的劳动生产率的高低,,ABC,易,多选题
90,价格受市场供求的影响，围绕着价值上下波动，不是对价值规律的否定，而是价值规律作用的表现形式。这是因为（  ）,从商品交换的较长时间看，价格与价值是趋于一致的,从商品交换的总体上看，价格总额与价值总额是相等的,各种商品价格的波动，是以各自的价值为基础的,商品交换都是按价格与价值相一致的原则进行的,价格的各种变化不会无限脱离价值，说明价格归根到底受价值制约,ABCE,易,多选题
91,价值规律在私有制商品经济中的作用表现为（  ）,引起和促进商品生产者的优胜劣汰和两极分化,促进社会再生产有计划按比例地进行,自发地调节生产资料和劳动力在社会各生产部门之间的分配比例,促使商品生产者改进技术、改善经营管理，刺激社会生产力的发展,,ACD,易,多选题
92,价值规律作用的实现依赖于（    ）,市场竞争,劳动生产率的提高,资源的有效配置,价格波动,供求关系的变化,ADE,易,多选题
93,资本主义生产过程的结果是（ ）,转移了生产资料的价值,创造出剩余价值,再生产劳动力的价值,生产出新的使用价值,,ABCD,易,多选题
94,劳动力商品的价值包括（ ）,养育子女所需要的生活资料价值,劳动者的教育和培训费用,劳动者维持生产所必需的生产资料价值,维持劳动者生存所需要的生活资料价值,,ABD,易,多选题
95,资本区分为不变资本和可变资本的意义在于（ ）,为计算资本周转速度提供了依据,进一步揭示了剩余价值的真正源泉,为平均利润、生产价格理论奠定了基础,为计算剩余价值率提供了科学依据,,BCD,易,多选题
96,在数量上相当于平均利润的剥削收人有（ ）,银行利润,商业利润,借贷利息,产业利润,,ABD,易,多选题
97,在资本主义现实中，剩余价值是采取各种转化形式出现的，它们有（ ）,利润,成本,工资,利息,,AD,易,多选题
98,剩余价值规律（ ）,反映资本主义生产的实质,决定资本主义生产的主要方面和主要过程,揭示资本主义生产的目的和达到目的的手段,在资本主义社会起主导作用,,ABCD,易,多选题
99,纺织厂的资本家购买的用于生产的棉花属于（ ）,固定资本,不变资本,可变资本,流动资本,,BD,易,多选题
100,资本主义劳动过程同其他劳动过程相比较体现出来的特点是（ ）,劳动产品归资本家所有,创造新的价值,工人在资本家监督下劳动，他们的劳动属于资本家,创造新的使用价值,,AC,易,多选题
101,反映资本家对工人的剥削程度的公式是（ ）,剩余价值／全部预付资本,剩余价值／可变资本,剩余劳动时间／必要劳动时间,年剩余价值量／预付可变资本,,BC,易,多选题
102,马克思关于资本有机构成学说论证了（ ）,利润率的下降趋势,平均利润率的形成,相对过剩人口的形成,技术进步条件下生产资料生产的优先增长,,ACD,易,多选题
103,资本积累规模的大小取决于（ ）,预付资本量的大小,对工人的剥削程度,所用资本和所费资本之间的差额,劳动生产率的高低,,ABCD,易,多选题
104,第二次世界大战后，发达资本主义国家工人工作日有所缩短，这表明（）,劳动生产率明显提高,必要劳动时间大为缩短,相对剩余价值成为主要剥削形式,对工人剥削程度有所减轻,,ABC,易,多选题
105,绝对剩余价值生产、相对剩余价值生产和超额剩余价值生产的关系是（ ）,超额剩余价值生产是绝对剩余价值生产的出发点,相对剩余价值生产是绝对剩余价值生产的出发点,超额剩余价值生产是变相的相对剩余价值生产,绝对剩余价值生产是相对剩余价值生产的出发点,,CD,易,多选题
106,资本积累和扩大再生产的客观必然性是由（ ）,社会再生产的规律决定的,竞争规律决定的,社会再生产的形式决定的,剩余价值规律决定的,,BD,易,多选题
107,下列现象掩盖资本主义剥削实质的是（ ）,资本主义利润是全部预付资本的产物,不变资本只是剩余价值生产的条件,资本总是表现为一定的物,资本主义工资是工人全部劳动的报酬,,AD,易,多选题
108,土地、资本等生产要素参与价值分配表明（ ）,其实质是生产要素所有权在经济上的实现,各种非劳动生产要素参与了社会财富的创造并且是价值创造的物质条件,各种非劳动生产要素和劳动力要素（工人的劳动）共同创造价值,各种非劳动生产要素是价值的源泉,,AB,易,多选题
109,剩余价值与利润这两个范畴之间的关系是（ ）,利润掩盖了剩余价值的真正源泉,利润是剩余价值的转化形式,剩余价值是利润的本质,剩余价值是利润的转化形式,,ABC,易,多选题
110,资本主义积累过程总是伴随着资本有机构成提高，资本有机构成提高的直接后果是（ ）,对劳动力需求减少,个别资本增大,生产资料优先增长,平均利润率下降,,ACD,易,多选题
111,资本主义国家的职能的两个基本方面是（ ）,行政职能,立法司法职能,对外职能,对内职能,,CD,易,多选题
112,资本主义的国家机器包括（）,监狱、法庭,政府机构,资产阶级政党,军队、警察,,ABD,易,多选题
113,资本主义国家的对内职能主要有（）,维护国家安全和利益的职能,对邮政、铁路、水路、文教、卫生保健、社会福利等事业进行管理的公共管理职能,对被统治阶级进行压迫和控制的政治职能,进行国际交往的职能,,BC,易,多选题
114,与奴隶制、封建制国家相比，资本主义国家（）,经济上要求自由竞争、等价交换,代表绝大多数人的根本利益,政治上对多数人实行民主，对少数人实行专政,政治上要求形式上的自由民主、正义平等,,AD,易,多选题
115,资本主义政治制度包括（）,政治组织形式,资本主义的民主与法制,选举制度,政党制度,,ABCD,易,多选题
116,资产阶级在反对封建专制主义的斗争中提出了（）,主权在民,天赋人权与社会契约论,分权制衡,自由、平等、博爱,,ABCD,易,多选题
117,资本主义法制的基本原则有（ ）,主权在民,分权制衡,私有财产不可侵犯,人们当家作主,,ABC,易,多选题
118,资本主义政权的分权制衡是指（）,司法权,管理权,立法权,行政权,,ACD,易,多选题
119,资产阶级政党在国家政治生活中发挥着很大作用，包括（）,代表资产阶级执掌政权，对政府施加影响、控制议会,控制群众团体和舆论宣传,制定和推行符合资产阶级利益的方针、政策,操纵选举,,ABCD,易,多选题
120,资产阶级意识形态在资产阶级取得政权以前的积极作用有（）,保证资产阶级的胜利,批判封建主义和宗教神学,为资产阶级建立国家提供理论依据,启发民众进行资产阶级革命,,ABCD,易,多选题
121,资产阶级意识形态的本质是（）,是资产阶级阶级意识的集中体现,在一定程度上代表了人民的意志和愿望,集中地体现了资本主义国家文化的精华,是为资本主义社会形态的经济基础服务的,,AD,易,多选题
122,18 世纪空想社会主义者的理论贡献包括（    ）,认识到无产阶级是变革社会，建立社会主义制度的社会力量,深刻揭露并批判了资本主义社会的弊端,认为社会发展有一定规律，得出社会主义必然代替资本主义的结论,对未来社会提出许多积极主张和天才设想,,BD,易,多选题
123,19世纪中叶，马克思恩格斯把社会主义由空想变为科学，奠定这一飞跃的理论基石是（　  ）,剩余价值理论,劳动价值论,唯物史观,阶级斗争学说,,AC,易,多选题
124,社会主义实现模式多样化的原因在于（    ）,民族特性不同,地域环境不同,政治经济文化水平的发展不同,历史传统不同,,ABCD,易,多选题
125,经济文化相对落后的国家建设社会主义之所以是长期的和艰巨的，是因为（    ）,马克思主义执政党对社会主义发展道路和建设规律的探索是一个过程,商品经济不发达，生产力落后,社会主义国家从诞生之日起，就处在资本主义世界的包围之中，受到资本主义列强的遏制和扼杀,封建主义传统长，缺乏近代民主的传统,,ABCD,易,多选题
126,社会主义社会的主要特征有（    ）,按劳分配,剥削制度的消灭和在生产资料所有制上坚持以公有制为主体,实行无产阶级专政,大力发展社会主义市场经济,,ABCD,易,多选题
127,无产阶级要建立自己的政党必须具备的条件是（    ）,加强各国无产阶级之间的联合,工人运动的一定发展,科学社会主义理论的传播和指导,有一定数量的无产阶级,,BCD,易,多选题
128,列宁关于过渡方式探索模式包括（    ）,"""全面进攻""",新经济政策,战时共产主义,优先发展重工业,,BC,易,多选题
129,在早期空想社会主义代表中，被称为姊妹篇的是（    ）,《乌托邦》,《太阳城》,《论实业制度》,《自然法典》,,AB,易,多选题
130,2011年4月，耶鲁大学出版了《马克思为什么是对的》一书，书中列举了当前西方社会10个典型的歪曲马克思主义的观点。其中一种观点认为：马克思主义将世间万物都归结于经济因素，艺术、宗教，政治、法律、道德等都被简单地视为经济的反映，对人类历史错综复杂的本质视而不见，而试图建立一种非黑即白的单一历史观，上述观点是对马克思主义关于经济基础和上层建筑辩证关系思想的严重歪曲，其表现为（）,把意识形态对社会历史始终具有的积极能动作用歪曲为消极被动作用,把社会历史发展多重因素的综合作用歪曲为单一因素决定论,把上层建筑与经济基础的相互作用歪曲为机械的单向作用,"把经济作为社会的""基础""所具有的归根到底的决定作用歪曲为唯一决定作用",,BCD,易,多选题
131,马克思主义是关于无产阶级和人类解放的科学，实现共产主义是全人类解放的根本体现。人类解放包括（）,从旧的社会关系的束缚下解放出来,从旧的传统观念的禁锢下解放出来,从客观规律的制约下解放出来,从自然的压迫下解放出来,,ABD,易,多选题
132,"美国导演迈克尔·穆尔在他的最新记录片《资本主义：一个爱情故事》问世以来，一直颇受关注。""资本主义""为何与""爱情故事""联系起来呢?穆尔解释说，这是一种""贪欲之爱""，喜爱财富的人不仅爱他们自己的钱，也爱你口袋中的钱……很多人不敢说出它的名字，真见鬼，就说出来吧。这就是""资本主义""。对金钱的""贪欲""与资本主义连为一体，是因为",资本就是人格化的资本,追逐剩余价值是资本主义生产方式的绝对规律,资本的生命在于不断运动和不断增值,赚钱体现了人的天然本性,,BC,易,多选题
133,伴随着生产力发展，科技进步及阶级关系调整，当代资本主义社会的劳资关系和分配关系发生了很大变化。其中资本家及其代理人为缓和劳资关系所采取的激励制度有(),职工参与决策制度,职工选举管理制度,职工终身雇佣制度,职工持股制度,,ACD,易,多选题
134,"作家史铁生在《奶奶的星星》中讲道，奶奶告诉他的故事与通常的说法不同：一般人说，地上死一个人，天上就熄灭了一颗星星；而奶奶说，地上死一个人，天上又多了一个星星，人死了就会升到天空，变成星星给走夜道的人照个亮了。于是他""慢慢相信，每一个活过的人，都能给后人的路途上添些光亮，也许是一颗巨星，也许是一把火炬，也许只是一支含泪的烛光……""这对我们理解个人在社会历史的作用的启示有（）",杰出个人决定历史发展的走向,历史是无数个人相互作用的合力的结果,每个人对社会发展都有或大或小的作用,人人都是历史的创造者,,BC,易,多选题
135,"1918年，马寅初在一次演讲时，有一位老农问他：""马教授，请问什么是经济学?""马寅初笑着说：""我给这位朋友讲个故事吧：有个赶考的书生到旅店投宿，拿出十两银子，挑了该旅店标价十两银子的最好房间，店主立刻用它到隔壁的米店付了欠单，米店老板转身去屠夫处还了肉钱，屠夫马上去付清了赊欠的饲料款，饲料商赶紧到旅店还了房钱。就这样，十两银子又到了店主的手里。这时书生来说，房间不合适，要回银子就走了。你看，店主一文钱也没赚到，大家却把债务都还清了，所以，钱的流通越快越好，这就是经济学。""在这个故事中，货币所发挥的职能有（",贮藏手段,支付手段,价值尺度,流通手段,,BCD,易,多选题
